id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,winner,result,result_margin,player_of_match,team1,team2,batting_team,bowling_team
335982,222,3,124,82,10,101,2008,Bangalore,M Chinnaswamy Stadium,Bangalore,field,Kolkata,runs,140.0,BB McCullum,Bangalore,Kolkata,Kolkata,Bangalore
335983,240,5,124,207,4,124,2008,Chandigarh,Punjab Cricket Association Stadium,Chennai,bat,Chennai,runs,33.0,MEK Hussey,Punjab,Chennai,Chennai,Punjab
335984,129,8,122,132,1,97,2008,Delhi,Feroz Shah Kotla,Rajasthan,bat,Delhi,wickets,9.0,MF Maharoof,Delhi,Rajasthan,Rajasthan,Delhi
335985,165,7,123,166,5,123,2008,Mumbai,Wankhede Stadium,Mumbai,bat,Bangalore,wickets,5.0,MV Boucher,Mumbai,Bangalore,Mumbai,Bangalore
335986,110,10,118,112,5,122,2008,Kolkata,Eden Gardens,Hyderabad,bat,Kolkata,wickets,5.0,DJ Hussey,Kolkata,Hyderabad,Hyderabad,Kolkata
335987,166,8,122,168,4,119,2008,Jaipur,Sawai Mansingh Stadium,Punjab,bat,Rajasthan,wickets,6.0,SR Watson,Rajasthan,Punjab,Punjab,Rajasthan
335988,142,8,122,143,1,83,2008,Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,bat,Delhi,wickets,9.0,V Sehwag,Hyderabad,Delhi,Hyderabad,Delhi
335989,208,5,127,202,7,128,2008,Chennai,MA Chidambaram Stadium,Mumbai,field,Chennai,runs,6.0,ML Hayden,Chennai,Mumbai,Chennai,Mumbai
335990,214,5,126,217,7,122,2008,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan,field,Rajasthan,wickets,3.0,YK Pathan,Hyderabad,Rajasthan,Hyderabad,Rajasthan
335991,182,10,124,116,9,126,2008,Chandigarh,Punjab Cricket Association Stadium,Mumbai,field,Punjab,runs,66.0,KC Sangakkara,Punjab,Mumbai,Punjab,Mumbai
335992,135,8,124,138,3,105,2008,Bangalore,M Chinnaswamy Stadium,Rajasthan,field,Rajasthan,wickets,7.0,SR Watson,Bangalore,Rajasthan,Bangalore,Rajasthan
335993,147,9,126,152,1,107,2008,Chennai,MA Chidambaram Stadium,Kolkata,bat,Chennai,wickets,9.0,JDP Oram,Chennai,Kolkata,Kolkata,Chennai
