winner,team1,team2,city,venue
Mumbai,Mumbai,Punjab,Mumbai,Brabourne Stadium
Rajasthan,Rajasthan,Mumbai,Jaipur,Sawai Mansingh Stadium
Chennai,Delhi,Chennai,Delhi,Feroz Shah Kotla
Mumbai,Rajasthan,Mumbai,Mumbai,Wankhede Stadium
Pune,Pune,Rajasthan,Pune,Subrata Roy Sahara Stadium
Kolkata,Kolkata,Mumbai,Kolkata,Eden Gardens
Mumbai,Bangalore,Mumbai,Bangalore,M Chinnaswamy Stadium
Hyderabad,Hyderabad,Kolkata,Delhi,Feroz Shah Kotla
Bangalore,Rajasthan,Bangalore,Ahmedabad,"Sardar Patel Stadium, Motera"
Rajasthan,Rajasthan,Chennai,Ahmedabad,"Sardar Patel Stadium, Motera"
Kolkata,Pune,Kolkata,Mumbai,Dr DY Patil Sports Academy
Bangalore,Bangalore,Delhi,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Hyderabad,Chennai,Hyderabad,Hyderabad,Rajiv Gandhi International Stadium
Hyderabad,Hyderabad,Mumbai,Mumbai,Wankhede Stadium
Bangalore,Bangalore,Hyderabad,Bangalore,M Chinnaswamy Stadium
Hyderabad,Delhi,Hyderabad,Raipur,Shaheed Veer Narayan Singh International Stadium
Punjab,Bangalore,Punjab,Bangalore,M Chinnaswamy Stadium
Hyderabad,Bangalore,Hyderabad,Mumbai,"Brabourne Stadium, Mumbai"
Kolkata,Bangalore,Kolkata,Sharjah,Sharjah Cricket Stadium
Kolkata,Kolkata,Hyderabad,Kolkata,Eden Gardens
Rajasthan,Mumbai,Rajasthan,Jaipur,Sawai Mansingh Stadium
Chennai,Chennai,Punjab,Chennai,MA Chidambaram Stadium
Chennai,Chennai,Delhi,Delhi,Arun Jaitley Stadium
Punjab,Delhi,Punjab,Chandigarh,Punjab Cricket Association Stadium
Bangalore,Bangalore,Punjab,Durban,Kingsmead
Delhi,Hyderabad,Delhi,Hyderabad,Rajiv Gandhi International Stadium
Delhi,Delhi,Rajasthan,UAE,Sharjah Cricket Stadium
Mumbai,Mumbai,Kolkata,Chennai,MA Chidambaram Stadium
Delhi,Delhi,Rajasthan,UAE,Sharjah Cricket Stadium
Hyderabad,Rajasthan,Hyderabad,Jaipur,Sawai Mansingh Stadium
Kolkata,Pune,Kolkata,Pune,Maharashtra Cricket Association Stadium
Gujarat,Gujarat,Bangalore,Rajkot,Saurashtra Cricket Association Stadium
Hyderabad,Hyderabad,Punjab,UAE,Dubai International Cricket Stadium
Punjab,Punjab,Hyderabad,Chandigarh,Punjab Cricket Association Stadium
Bangalore,Rajasthan,Bangalore,Jaipur,Sawai Mansingh Stadium
Rajasthan,Gujarat,Rajasthan,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Hyderabad,Delhi,Hyderabad,Raipur,Shaheed Veer Narayan Singh International Stadium
Hyderabad,Hyderabad,Bangalore,Hyderabad,Rajiv Gandhi International Stadium
Bangalore,Bangalore,Hyderabad,Chennai,MA Chidambaram Stadium
Punjab,Punjab,Pune,Indore,Holkar Cricket Stadium
Kolkata,Bangalore,Kolkata,Kolkata,Eden Gardens
Delhi,Rajasthan,Delhi,Jaipur,Sawai Mansingh Stadium
Rajasthan,Bangalore,Rajasthan,Centurion,SuperSport Park
Rajasthan,Rajasthan,Hyderabad,Pune,Maharashtra Cricket Association Stadium
Hyderabad,Hyderabad,Delhi,Cuttack,Barabati Stadium
Hyderabad,Mumbai,Hyderabad,Mumbai,Dr DY Patil Sports Academy
Rajasthan,Rajasthan,Kolkata,Mumbai,Brabourne Stadium
Rajasthan,Hyderabad,Rajasthan,Hyderabad,Rajiv Gandhi International Stadium
Gujarat,Gujarat,Chennai,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Bangalore,Kolkata,Bangalore,Kolkata,Eden Gardens
Punjab,Mumbai,Punjab,Mumbai,Wankhede Stadium
Mumbai,Bangalore,Mumbai,Bangalore,M Chinnaswamy Stadium
Chennai,Chennai,Delhi,Navi Mumbai,Dr DY Patil Sports Academy
