Unnamed: 0,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,id,season,city,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,target_runs,target_overs,super_over,umpire1,umpire2,year
0,1,Kolkata,Bangalore,0,1,SC Ganguly,P Kumar,BB McCullum,0,1,1,legbyes,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
1,1,Kolkata,Bangalore,0,2,BB McCullum,P Kumar,SC Ganguly,0,0,0,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
2,1,Kolkata,Bangalore,0,3,BB McCullum,P Kumar,SC Ganguly,0,1,1,wides,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
3,1,Kolkata,Bangalore,0,4,BB McCullum,P Kumar,SC Ganguly,0,0,0,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
4,1,Kolkata,Bangalore,0,5,BB McCullum,P Kumar,SC Ganguly,0,0,0,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
5,1,Kolkata,Bangalore,0,6,BB McCullum,P Kumar,SC Ganguly,0,0,0,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
6,1,Kolkata,Bangalore,0,7,BB McCullum,P Kumar,SC Ganguly,0,1,1,legbyes,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
7,1,Kolkata,Bangalore,1,1,BB McCullum,Z Khan,SC Ganguly,0,0,0,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
8,1,Kolkata,Bangalore,1,2,BB McCullum,Z Khan,SC Ganguly,4,0,4,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
9,1,Kolkata,Bangalore,1,3,BB McCullum,Z Khan,SC Ganguly,4,0,4,No_extras,0,Not_Dismissed,Not_Dismissed,335982,2008,Bangalore,League,BB McCullum,M Chinnaswamy Stadium,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,223.0,20.0,N,Asad Rauf,RE Koertzen,2008
